2025-07-15T11:53:09+0200 INFO: totd_pattern_group written to pattern_dings.txt
2025-07-15T11:53:09+0200 INFO: discovery_pattern_group written to discovery_pattern_group.txt
2025-07-15T11:53:09+0200 INFO: competition_pattern_group written to competition_pattern_group.txt
2025-07-15T11:53:10+0200 WARNING: Unmatched map name: 6irtjsw0v_sP5T_OhDv6BpBfUS6 | SummerTube [Race] | sanitized: SummerTube [Race] | totd: False | discovery: {}
2025-07-15T11:53:24+0200 WARNING: Unmatched map name: eZsW0g9ywDLf0sSOX_h0KG9tmh1 | TheLarotabyn [Race] | sanitized: TheLarotabyn [Race] | totd: False | discovery: {}
2025-07-15T11:53:26+0200 WARNING: Unmatched map name: ZIMtQO68cuRnoqdvBaE1EOw5kq | Spring 2025 - 11 | sanitized: Spring 2025 - 11 | totd: False | discovery: {}
2025-07-15T11:53:26+0200 WARNING: Unmatched map name: lFNdC9PCOt37bqcsv_fnwr8vRha | Spring 2025 - 25 | sanitized: Spring 2025 - 25 | totd: False | discovery: {}
2025-07-15T11:53:28+0200 WARNING: Unmatched map name: gy7VcH_63gYMapfUbIEIuT15dK6 | Arena | sanitized: Arena | totd: False | discovery: {}
2025-07-15T11:53:29+0200 WARNING: Unmatched map name: pDR_gM4XGM_GhdlgeWn4qjvfnG3 | Spring 2025 - 19 | sanitized: Spring 2025 - 19 | totd: False | discovery: {}
2025-07-15T11:53:29+0200 WARNING: Unmatched map name: 66n4EB3JF42oArBScZN_mF2jj5c | Spring 2025 - 03 | sanitized: Spring 2025 - 03 | totd: False | discovery: {}
2025-07-15T11:53:32+0200 WARNING: Unmatched map name: XogNrhkJzmcDU3w8VuKAyUXC98j | DeserticSlalom [Race] | sanitized: DeserticSlalom [Race] | totd: False | discovery: {}
2025-07-15T11:53:32+0200 WARNING: Unmatched map name: 7Zc_qyKmZdHg_Fe06Bk4xkUuEL3 | Spring 2025 - 24 | sanitized: Spring 2025 - 24 | totd: False | discovery: {}
2025-07-15T11:53:32+0200 WARNING: Unmatched map name: kRI21bX4eVJjuVxfybMhK0f4fX7 | Spring 2025 - 23 | sanitized: Spring 2025 - 23 | totd: False | discovery: {}
2025-07-15T11:53:33+0200 WARNING: Unmatched map name: UVMUUmv0F0tN4999jRKHBjq27ml | Spring 2025 - 10 | sanitized: Spring 2025 - 10 | totd: False | discovery: {}
2025-07-15T11:53:34+0200 WARNING: Unmatched map name: KhRjcdWrOexzOYBe8MB1SZh3ND9 | Spring 2025 - 02 | sanitized: Spring 2025 - 02 | totd: False | discovery: {}
2025-07-15T11:53:34+0200 WARNING: Unmatched map name: HtUacKRlCmcXpsGGx9Qw2cYxym1 | Spring 2025 - 22 | sanitized: Spring 2025 - 22 | totd: False | discovery: {}
2025-07-15T11:53:35+0200 WARNING: Unmatched map name: 9VFLZgw8afDM5UebKVaS7eJeqq6 | JumpInSplash [Race] | sanitized: JumpInSplash [Race] | totd: False | discovery: {}
2025-07-15T11:53:36+0200 WARNING: Unmatched map name: tGzxfivbJLXkJP6YVU_wZiBRiz5 | Spring 2025 - 13 | sanitized: Spring 2025 - 13 | totd: False | discovery: {}
2025-07-15T11:53:36+0200 WARNING: Unmatched map name: ZUvXdSM4W5KbaYhrnQsO_j6Hukj | Spring 2025 - 12 | sanitized: Spring 2025 - 12 | totd: False | discovery: {}
2025-07-15T11:53:36+0200 WARNING: Unmatched map name: 7aPVxr1y7NLgKkZqHRbSPSRAeFl | Training - 05 Multi | sanitized: Training - 05 Multi | totd: False | discovery: {}
2025-07-15T11:53:36+0200 WARNING: Unmatched map name: Xw9hcWvmLIkdCCUJ5wk1YKogifd | Spring 2025 - 15 | sanitized: Spring 2025 - 15 | totd: False | discovery: {}
2025-07-15T11:53:38+0200 WARNING: Unmatched map name: fGIU_IxbvluhVGqW0yZohV1edFh | Spring 2025 - 14 | sanitized: Spring 2025 - 14 | totd: False | discovery: {}
2025-07-15T11:53:38+0200 WARNING: Unmatched map name: vLrce_V7ycT__g5El1vYb0Unhjf | Training - 24 (All Up 1) | sanitized: Training - 24 (All Up 1) | totd: False | discovery: {}
2025-07-15T11:53:38+0200 WARNING: Unmatched map name: pthVg2ZijWKXfEaJT6c4bRxl8Mk | Spring 2025 07 Lowered | sanitized: Spring 2025 07 Lowered | totd: False | discovery: {}
2025-07-15T11:53:39+0200 WARNING: Unmatched map name: afLDQoGmdtfsdsHlV6t7hGCD106 | BoostHour [Race] | sanitized: BoostHour [Race] | totd: False | discovery: {}
2025-07-15T11:53:40+0200 WARNING: Unmatched map name: Q_EbRLjoHVnv8rBoFrqBcgk8ap8 | Winter 2024 - 25 (Very Hidden Finish) | sanitized: Winter 2024 - 25 (Very Hidden Finish) | totd: False | discovery: {}
2025-07-15T11:53:42+0200 WARNING: Unmatched map name: 4QSvF9xQQD8u7oTPx7A9T6WMjja | Spring 2025 - 01 | sanitized: Spring 2025 - 01 | totd: False | discovery: {}
2025-07-15T11:53:42+0200 WARNING: Unmatched map name: 1Bce_fQPtNLC4X2LKn7rN__7P_n | WaterFall [Race] | sanitized: WaterFall [Race] | totd: False | discovery: {}
2025-07-15T11:53:42+0200 WARNING: Unmatched map name: acegmsL_MGUg8Ig39gu00ToAc54 | Spring 2025 - 09 | sanitized: Spring 2025 - 09 | totd: False | discovery: {}
2025-07-15T11:53:42+0200 WARNING: Unmatched map name: uHlocbKfmi_EWIHxaKWD_klrCH2 | Riseform [Race] | sanitized: Riseform [Race] | totd: False | discovery: {}
2025-07-15T11:53:43+0200 WARNING: Unmatched map name: 9bxEH5K6RHpM2C7nUJEicMEKZb4 | Spring 2025 - 07 | sanitized: Spring 2025 - 07 | totd: False | discovery: {}
2025-07-15T11:53:43+0200 WARNING: Unmatched map name: PpZolRHFZB1hVwqErSbIznemTRe | Spring 2025 - 18 | sanitized: Spring 2025 - 18 | totd: False | discovery: {}
2025-07-15T11:53:43+0200 WARNING: Unmatched map name: yJm760f4YbDT8z2kPHA116PAycb | Training - 10 Multi | sanitized: Training - 10 Multi | totd: False | discovery: {}
2025-07-15T11:53:46+0200 WARNING: Unmatched map name: tvwusMWflYpYhHngh02CoO28vV0 | Spring 2025 - 16 | sanitized: Spring 2025 - 16 | totd: False | discovery: {}
2025-07-15T11:53:47+0200 WARNING: Unmatched map name: djsz9J5Wcwr3_WdEZLXh9NmLGem | Spring 2025 - 17 | sanitized: Spring 2025 - 17 | totd: False | discovery: {}
2025-07-15T11:53:47+0200 WARNING: Unmatched map name: PYDpOu3A5294LXTJzVgmY20G6Al | Spring 2025 - 21 | sanitized: Spring 2025 - 21 | totd: False | discovery: {}
2025-07-15T11:53:47+0200 WARNING: Unmatched map name: Y0pa2ox83GjRmMYeIRQ5RUaJvMa | Neverest [Race] | sanitized: Neverest [Race] | totd: False | discovery: {}
2025-07-15T11:53:50+0200 WARNING: Unmatched map name: hlizrXlE7DLySa9sJxj91m2TdQd | Spring 2025 - 06 | sanitized: Spring 2025 - 06 | totd: False | discovery: {}
2025-07-15T11:53:50+0200 WARNING: Unmatched map name: rxB4R5RKWSuaJepFQkbpgJys2A5 | Spring 2025 - 20 | sanitized: Spring 2025 - 20 | totd: False | discovery: {}
2025-07-15T11:53:52+0200 WARNING: Unmatched map name: cKWHvMMshE9Wxf9ILoYaC_HYq33 | NoTechLogic [Race] | sanitized: NoTechLogic [Race] | totd: False | discovery: {}
2025-07-15T11:53:53+0200 WARNING: Unmatched map name: cyAsefOVqDysVX0D0O7zHoHMZ2j | Spring 2025 - 05 | sanitized: Spring 2025 - 05 | totd: False | discovery: {}
2025-07-15T11:53:53+0200 WARNING: Unmatched map name: 4h3eft95RwbpmrAIztcHvzutIC0 | ColorPool [Race] | sanitized: ColorPool [Race] | totd: False | discovery: {}
2025-07-15T11:53:54+0200 INFO: Parsed data written to parsed_map_data.json
